Internet_Users,GDP_Per_Capita,Electricity_Access,Electricity_Access_Rural,Electricity_Access_Urban,Broadband_Subscriptions,Life_Expectancy,Sec_Edu_Duration,Literacy_Female,Literacy_Male,Literacy_Total,Pop_0_14,Pop_15_64,Pop_65_Above,Pop_Female,Pop_Male,Pop_Total,Pop_Rural,Pop_Urban
-1.654497618019507,-0.844310315054973,-0.5788766172551547,-0.531456554927298,0.16144795912853552,-0.9788085163937549,-1.2650820173611865,-0.45799446329325877,0.0,0.0,-1.3980151980906173e-15,1.9192405601009759,-2.129323183055521,-1.0277218269707817,-0.12506070220170357,0.1250607022017036,-0.3059463235610864,1.5056242737816823,-1.5056242737816818
-1.6388418880004545,-0.8377021603662343,-0.622251309412384,-0.5501425423101284,-0.03829103361726945,-0.9788209935303517,-1.199826140733924,-0.45799446329325877,0.0,0.0,-1.3980151980906173e-15,1.876020957008965,-2.06102386615462,-1.0257697851935625,-0.13071101760408355,0.13071101760408357,-0.3049637184733952,1.495868640880687,-1.4958686408806872
-1.600181425499708,-0.8335382043606809,0.2255267645698308,0.2689265713039435,0.42538877097120686,-0.9788337944340433,-1.1829177354539853,-0.45799446329325877,0.0,0.0,-1.3980151980906173e-15,1.832372934503841,-1.9912241662307877,-1.0246558412505105,-0.13550785809968127,0.1355078580996813,-0.3038820373295991,1.4860672068862602,-1.4860672068862604
-1.5558976229988528,-0.83081917799893,-0.4842409252757444,-0.41311196816937135,-0.01689042725164767,-0.9775996600807259,-1.1678586870015404,-0.45799446329325877,-4.870279206537227,-4.318190289848099,-4.6849349059755125,1.7881982478444463,-1.9195248855940128,-1.0246296008208784,-0.13910920421076042,0.13910920421076042,-0.30292109602709005,1.4761741707049698,-1.4761741707049694
-1.459597925496993,-0.8340542780818471,0.5488653788328152,0.5990456817339495,0.4824570546128653,-0.9772612175614229,-1.1048484579505191,-0.45799446329325877,0.0,0.0,-1.3980151980906173e-15,1.7436186349225133,-1.8469536170907261,-1.0248267695759936,-0.14163460234593045,0.14163460234593048,-0.3021177097780849,1.4662353334302471,-1.466235333430247
-1.3717332379952962,-0.8284590563689759,0.5488653788328152,0.5990456817339495,0.4824570546128653,-0.9772335914532314,-1.120700087900462,-0.45799446329325877,0.0,0.0,-1.3980151980906173e-15,1.701087866000548,-1.778568491306504,-1.0241288255180963,-0.13986082146046463,0.13986082146046463,-0.30120385015272405,1.4557010819409097,-1.4557010819409097
-1.2557518504930565,-0.8240563794515299,0.37930976403637234,0.4277574640580029,0.4325223064264138,-0.9758859487439374,-1.1121137883442427,-0.45799446329325877,0.0,0.0,-1.3980151980906173e-15,1.6616576730937134,-1.7157145970695595,-1.0229133416379106,-0.1334167282827314,0.1334167282827314,-0.30022916567555274,1.4444798140500938,-1.444479814050094
-1.2276351504925136,-0.8171563279766586,0.5488653788328152,0.5990456817339495,0.4824570546128653,-0.9752466373305748,-1.0481788808794759,-0.45799446329325877,0.0,0.0,-1.3980151980906173e-15,1.6243910228235403,-1.6566342924489954,-1.0214263207388155,-0.12699549215587108,0.1269954921558711,-0.29919994678707607,1.4326173308512313,-1.4326173308512316
-1.1995184504919707,-0.8181375930728645,0.5488653788328152,0.5990456817339495,0.4824570546128653,-0.9740352566932567,-1.1789548279664996,-0.45799446329325877,0.0,0.0,-1.3980151980906173e-15,1.5900497430400435,-1.600019169395015,-1.0223185028446875,-0.12128178528411962,0.12128178528415481,-0.2980784693374003,1.4201594334377547,-1.4201594334377545
-2.4972646173664766e-16,-0.8372036099529027,0.5488653788328152,0.5990456817339495,0.4824570546128653,-0.9741550505183725,-1.2572882993024652,-0.45799446329325877,-4.392416307474248,-4.099277162316873,-4.365588944810132,1.5592863009331628,-1.5471954006910047,-1.0253120511827463,-0.11363939323684528,0.1136393932368453,-0.2972172134398559,1.4069687185293673,-1.406968718529367
-2.4972646173664766e-16,-0.8381696877294833,0.05991430360586315,0.11943867224129927,0.2256497782254019,-0.9731560701728958,-1.1387973654266463,-0.45799446329325877,-4.101795351539273,0.0,-1.3980151980906173e-15,1.5273248728585092,-1.4957109202041157,-1.0248852096583458,-0.11145227054686019,0.1114522705468602,-0.2966823641819742,1.3931367883129329,-1.3931367883129329
-1.5509772004987579,-0.7903204500420711,-2.0546639466547467,-1.8194548802152264,-1.863384690057566,-0.9525557891700903,-1.5122978236746132,-0.45799446329325877,-1.2703255172709074,-1.1815424354505937,-1.2620178952573988,1.5047776643358257,-1.5550609025403326,-0.9249533168493151,0.24648365570751435,-0.24648365570751438,0.18324331189757306,1.0983269563422469,-1.0983269563422469
-1.4947438004976719,-0.784877659487585,-2.052686608347912,-1.8402519531980002,-1.8513407209357344,-0.944918684559477,-1.4253118438428125,-0.45799446329325877,-1.1920484964592897,-1.097874852320129,-1.1800709417966482,1.4860556576934865,-1.5271742748184642,-0.9223378707271146,0.24119039739624018,-0.2411903973962402,0.19766124379537367,1.0779997745685646,-1.0779997745685646
-1.4209374629962463,-0.7786838698311133,-2.04683565593544,-1.8745759519628034,-1.9073070102201155,-0.9386952871876961,-1.342251344502624,-0.45799446329325877,-1.1197431570717071,-1.049471616458968,-1.1156884458919822,1.4663413482058751,-1.4983389015491482,-0.9190325860444415,0.23521411561190478,-0.2352141156119048,0.21223965266230305,1.056790362106582,-1.0567903621065817
